uid,Main Heading,Sub-Heading,Sub-Sub-Heading,Comments,Drug Name,Urinary Excretion (%),Half-Life (hr),Protein Binding (%),Volume of Distribution (L/kg),Clearance (L/hr),Clearance Slope (do not display),Clearance Intercept (do not display),Dose of Normal Renal Function,2nd Dose ,Adjustment (Dose/Interval),Stage 1 (>89),Stage 2 (60-89),Stage 3 (30-59),Stage 4 (15-29),Stage 5 (<15),Intermitent HD,Peritoneal Dialysis,Continous Renal Replacement,References,Toxicity
11,Analgesics,Narcotics and Narcotic Antagonists,,,Sufentanil,Hepatic,2-5/Unchanged,92,2-3,,,,Anesthetic induction (individualized),,D,Anesthetic induction (individualized),100% [B],100% [D],100% [D],100% [B],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Dose for GFR 10-50,titrate, [D]","Davis PJ, Stiller RL, Cook DR, Brandom BW, Davin-Robinson KA. Pharmacokinetics of sufentanil in adolescent patients with chronic renal failure. Anesth Analg. 1988; 67: 268-71. [PMID: 2964213] / Fyman PN, Reynolds JR, Moser F, Avitable M, Casthely PA, Butt K. Pharmacokinetics of sufentanil in patients undergoing renal transplantation. Can J Anaesth. 1988; 35: 312-5. [PMID: 2968186] / Wiggum DC, Cork RC, Weldon ST, Gandolfi AJ, Perry DS. Postoperative respiratory depression and elevated sufentanil levels in a patient with chronic renal failure. Anesthesiology. 1985; 63: 708-10. [PMID: 2932984]",
12,Analgesics,Narcotics and Narcotic Antagonists,,,Tiagabine,2,7-9/No change,96,0.9-1.7,,,,4 mg qd,"Second Dose: Increase by 4 mg/day, titrate dose weekly",,4 mg qd,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [D]","CRRT: No data, [D]","Bourgeois BF. Pharmacokinetic properties of current antiepileptic drugs: what improvements are needed? Neurology. 2000; 55: S11-6. [PMID: 11147563] / Ingwersen SH, Pedersen PC, Groes L, Nielsen KK, Aarons L. Population pharmacokinetics of tiagabine in epileptic patients on monotherapy. Eur J Pharm Sci. 2000; 11: 247-54. [PMID: 11042231]",Total daily dose may be increased by 4 to 8 mg at weekly intervals until clinical response is achieved or up to 32 mg/day. Total daily dose should be given in divided doses two to four times daily.
13,Analgesics,Non-Narcotics,,,Acetaminophen,Hepatic,2/2,20-30,1-2,,,,650 mg q4h,,I,650 mg q4h,q4h [D],q6h [D],q6h [D],q8h [D],IHD: None ,PD: None ,"CRRT: Dose for GFR 10-50,[B]","Agarwal R, Farber MO. Is continuous veno-venous hemofiltration for acetaminophen-induced acute liver and renal failure worthwhile? Clin Nephrol. 2002; 57: 167-70. [PMID: 11863129] / Blantz RC. Acetaminophen: acute and chronic effects on renal function. Am J Kidney Dis. 1996; 28: S3-6. [PMID: 8669426] / Clissold SP. Paracetamol and phenacetin. Drugs. 1986; 32 Suppl 4: 46-59. [PMID: 3552585] / D&#146; Arcy PF. Paracetamol. Adverse Drug React Toxicol Rev. 1997; 16: 9-14. [PMID: 9192054] / Segasothy M, Suleiman AB, Puvaneswary M, Rohana A. Paracetamol: a cause for analgesic nephropathy and end-stage renal disease. Nephron. 1988; 50: 50-4. [PMID: 3050572]",Overdose may be nephrotoxic. Drug is major metabolite of phenacetin.
14,Analgesics,Non-Narcotics,,,Acetylsalicylic acid (aspirin),Hepatic (renal),2-3/Unchanged,80-90,0.1-0.2,,,,650 mg q4h,,I,650 mg q4h,q4h [B],q4-6h [B],q4-6h [B],Avoid [B],IHD: Dose after dialysis,PD: None ,"CRRT: Dose for GFR 10-50, [D]","Clissold SP. Aspirin and related derivatives of salicylic acid. Drugs. 1986; 32 Suppl 4: 8-26. [PMID: 3552588] / Montgomery PR, Berger LG, Mitenko PA, Sitar DS. Salicylate metabolism: effects of age and sex in adults. Clin Pharmacol Ther. 1986; 39: 571-6. [PMID: 3698465] / Montgomery PR, Sitar DS. Acetylsalicylic acid metabolites in blood and urine after plain and enteric-coated tablets. Biopharm Drug Dispos. 1986; 7: 21-5. [PMID: 3955197] / Needs CJ, Brooks PM. Clinical pharmacokinetics of the salicylates. Clin Pharmacokinet. 1985; 10: 164-77. [PMID: 3888490]","Nephrotoxic in high doses. May decrease GFR when renal blood flow is prostaglandin dependent. Excretion enhanced in alkaline urine. May add to uremic gastrointestinal and hematologic symptoms. Protein binding reduced in ESRD. 5% excreted unchanged in acidic urine, 85% in alkaline urine."
15,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Clonidine,62,12-16/39-42,20,2.5-3.7,,,,0.1-0.6 mg bid,,I,0.1-0.6 mg bid,q12h [B],q12-24h [B],q12-24h [B],q24h [B],"IHD: Dose after dialysis, [B]","PD: Dose for GFR <10, [B]","CRRT: Dose for GFR 10-50,titrate, [D]","Byrd BF 3rd, Collins HW, Primm RK. Risk factors for severe bradycardia during oral clonidine therapy for hypertension. Arch Intern Med. 1988; 148: 729-33. [PMID: 3341873] / Hulter HN, Licht JH, Ilnicki LP, Singh S. Clinical efficacy and pharmacokinetics of clonidine in hemodialysis and renal insufficiency. J Lab Clin Med. 1979; 94: 223-31. [PMID: 458242] / Langley MS, Heel RC. Transdermal clonidine. A preliminary review of its pharmacodynamic properties and therapeutic efficacy. Drugs. 1988; 35: 123-42. [PMID: 3281820] / Lowenthal DT, Matzek KM, MacGregor TR. Clinical pharmacokinetics of clonidine. Clin Pharmacokinet. 1988; 14: 287-310. [PMID: 3293868]","Increased risk of bradycardia in renal patients. Rebound hypertension if drug is abruptly withdrawn. Tricyclic antidepressants decrease efficacy. Potentiates CNS depressant effects of alcohol, sedatives. Start with prolonged dose interval and titrate. For transdermal dosing, start with 0.1 mg and increase as needed."
16,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Doxazosin,<5,16-22/16-22,98,1.0-1.7,,,,1-16 mg q24h,,,1-16 mg q24h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [A]",CRRT: Not applicable,"Carlson RV, Bailey RR, Begg EJ, Cowlishaw MG, Sharman JR. Pharmacokinetics and effect on blood pressure of doxazosin in normal subjects and patients with renal failure. Clin Pharmacol Ther. 1986; 40: 561-6. [PMID: 2945688] / Fulton B, Wagstaff AJ, Sorkin EM. Doxazosin. An update of its clinical pharmacology and therapeutic applications in hypertension and benign prostatic hyperplasia. Drugs. 1995; 49: 295-320. [PMID: 7537194] / Oliver RM, Upward JW, Dewhurst AG, Honeywell R, Renwick AG, Waller DG. The pharmacokinetics of doxazosin in patients with hypertension and renal impairment. Br J Clin Pharmacol. 1990; 29: 417-22. [PMID: 2139337]",May produce profound first-dose hypotension. Titration of renal patients should begin from low doses.
17,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Guanabenz,<5,12-14/No data,90,10-12,,,,2-4 mg bid,Second Dose: 8-16 mg bid,,2-4 mg bid,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: None, [D]",CRRT: Not applicable,"Gehr M, MacCarthy EP, Goldberg M. Guanabenz: a centrally acting, natriuretic antihypertensive drug. Kidney Int. 1986; 29: 1203-8. [PMID: 3528613] / Holmes B, Brogden RN, Heel RC, Speight TM, Avery GS. Guanabenz. A review of its pharmacodynamic properties and therapeutic efficacy in hypertension. Drugs. 1983; 26: 212-29. [PMID: 6352237]",Similar to clonidine.
18,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Guanadrel,30-40,4-10/19,20,11.5,,,,10-50 mg bid,,I,10-50 mg bid,q12h [A],q12-24h [A],q12-24h [A],q24-48h [A],"IHD: None, [D]","PD: None, [D]",CRRT: Not applicable,"Finnerty FA Jr, Brogden RN. Guanadrel. A review of its pharmacodynamic and pharmacokinetic properties and therapeutic use in hypertension. Drugs. 1985; 30: 22-31. [PMID: 3896742] / Halstenson CE, Opsahl JA, Abraham PA, Schwenk MH, Andreadis NA, Antal EJ, et al. Disposition of guanadrel in subjects with normal and impaired renal function. J Clin Pharmacol. 1989; 29: 128-32. [PMID: 2715368]","Similar to guanethidine, but less diarrhea."
19,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Guanethidine,25-50,120-140/No data,<5,No data,,,,10-100 mg q24h,,I,10-100 mg q24h,q24h [D],q24h [D],q24h [D],q24-36h [D],IHD: No data,PD: No dat,CRRT: Not applicable,,"Tricyclic antidepressants decrease efficacy. Orthostatic hypotension, diarrhea."
20,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Guanfacine,50,10-30/15-25,70,6.3,,,,1-2 mg q24h,,,1-2 mg q24h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [A]",CRRT: Not applicable,"Carchman SH, Crowe JT Jr, Wright GJ. The bioavailability and pharmacokinetics of guanfacine after oral and intravenous administration to healthy volunteers. J Clin Pharmacol. 1987; 27: 762-7. [PMID: 3323255] / Carchman SH, Sica DA, Davis J, Crowe JT Jr, Wasserman AJ, Proctor JD, et al. Steady-state plasma levels and pharmacokinetics of guanfacine in patients with renal insufficiency. Nephron. 1989; 53: 18-23. [PMID: 2674741] / Kiechel JR. Pharmacokinetics of guanfacine in patients with impaired renal function and in some elderly patients. Am J Cardiol. 1986; 57: 18E-21E. [PMID: 3513525] / Kirch W, Kohler H, Axthelm T. Pharmacokinetics of guanfacine in patients undergoing haemodialysis. Eur J Drug Metab Pharmacokinet. 1982; 7: 277-80. [PMID: 6762301] / Sorkin EM, Heel RC. Guanfacine. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in the treatment of hypertension. Drugs. 1986; 31: 301-36. [PMID: 3519177]","Similar to clonidine, but milder."
21,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Ketanserin,<2,14-19/25-35,95,3-6,,,,40 mg bid,,D,40 mg bid,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: None, [D]",CRRT: Dose for GFR 10-50,"Ebihara A, Fujimura A. Metabolites of antihypertensive drugs. An updated review of their clinical pharmacokinetic and therapeutic implications. Clin Pharmacokinet. 1991; 21: 331-43. [PMID: 1773548] / Persson B, Heykants J, Hedner T. Clinical pharmacokinetics of ketanserin. Clin Pharmacokinet. 1991; 20: 263-79. [PMID: 2036747]",Serotonin receptor antagonist. Protein binding decreased in uremia.
22,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Methyldopa,25-40,1.5-6.0/6-16,<15,0.5,,,,250-500 mg q8h,,I,250-500 mg q8h,q8h [B],q8-12h [B],q8-12h [B],q12-24h [B],"IHD: Dose after dialysis, [D]","PD: Dose for GFR <10, [D]","CRRT: Dose for GFR 10-50, titrate, [D]","Myhre E, Rugstad HE, Hansen T. Clinical pharmacokinetics of methyldopa. Clin Pharmacokinet. 1982; 7: 221-33. [PMID: 7047042] / Seyffart G. Drug Dosage in Renal Insufficiency. Dordrecht, The Netherlands: Kluwer Academic; 1991. / Yeh BK, Dayton PG, Waters WC 3rd. Removal of alpha-methyldopa (aldomet) in man by dialysis. Proc Soc Exp Biol Med. 1970; 135: 840-3. [PMID: 5486722]","Orthostatic hypotension, retroperitoneal fibrosis. Elevates serum creatinine by acting as a chromogen. Active metabolites with long half-life."
23,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Prazosin,<5,2-3/3.6,97,1.2-1.5,,,,1-15 mg bid-tid,,,1-15 mg bid-tid,100% [A],100% [D],100% [D],100% [D],IHD: None ,"PD: None, [D]",CRRT: Not applicable,"Lameire N, Gordts J. A pharmacokinetic study of prazosin in patients with varying degrees of chronic renal failure. Eur J Clin Pharmacol. 1986; 31: 333-7. [PMID: 3792430] / Seyffart G. Drug Dosage in Renal Insufficiency. Dordrecht, The Netherlands: Kluwer Academic; 1991. / Vincent J, Meredith PA, Reid JL, Elliott HL, Rubin PC. Clinical pharmacokinetics of prazosin&#151; 1985. Clin Pharmacokinet. 1985; 10: 144-54. [PMID: 3888489]",May produce profound first-dose hypotension. Titration of renal patients should begin from low doses.
24,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Reserpine,<1,46-168/87-323,96,No data,,,,0.05-0.25 mg q24h,,D,0.05-0.25 mg q24h,100% [A],100% [A],100% [A],Avoid [A],"IHD: None, [D]","PD: None, [D]",CRRT: Not applicable,"Zsot&#233; r TT, Johnson GE, DeVeber GA, Paul H. Excretion and metabolism of reserpine in renal failure. Clin Pharmacol Ther. 1973; 14: 325-30. [PMID: 4698561]",Excessive sedation. Gastrointestinal bleeding.
25,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Adrenergic and Serotoninergic Modulators, Blood pressure is the best guide to dose and interval.,Terazosin,20-30,9-12/8-12,90-94,0.5-0.9,,,,1 mg hs ,Second Dose: 1-20 mg q24h,,1 mg hs ,100% [A],100% [A],100% [A],100% [A],"IHD: None, [D]","PD: None, [D]",CRRT: Not applicable,"Achari R, Laddu A. Terazosin: a new alpha adrenoceptor blocking drug. J Clin Pharmacol. 1992; 32: 520-3. [PMID: 1353083] / Titmarsh S, Monk JP. Terazosin. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in essential hypertension. Drugs. 1987; 33: 461-77. [PMID: 2885169]",Similar to prazosin (q.v.).
26,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-II&#150; Receptor Antagonists," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. Can cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure.",Candesartan,52,9-13/7.3-12,99,0.13,,,,16-32 mg q24h,,,16-32 mg q24h,100% [A],100% [A],100% [A],100% [A],"IHD: No dose adjustment,[A]","PD: No dose adjustment,[A]","CRRT: Dose for GFR 10-50,titrate, [D]","de Zeeuw D, Remuzzi G, Kirch W. Pharmacokinetics of candesartan cilexetil in patients with renal or hepatic impairment. J Hum Hypertens. 1997; 11 Suppl 2: S37-42.[PMID: 9331004] / Ottosson P, Attman PO, Agren AC, Samuelsson O. Candesartan cilexetil in haemodialysis patients. Clin Drug Investig. 2003; 23: 545-50. [PMID: 17535067] / Pfister M, Frey FJ, Uehlinger DE. Pharmacokinetics, haemodynamics and safety of candesartan cilexetil in hypertensivepatients undergoing haemodialysis [Abstract]. J Hum Hypertens. 1999; 13(Suppl 3): 21. [PMID unavailable] / Pfister M, Schaedeli F, Frey FJ, Uehlinger DE. Pharmacokinetics and haemodynamics of candesartan cilexetil in hypertensive patients on regular haemodialysis. Br J Clin Pharmacol. 1999; 47: 645-51. [PMID: 10383542]",Rapidly and completely bioactivated by ester hydrolysis during absorption from the gastrointestinal tract.
27,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-II&#150; Receptor Antagonists," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. Can cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure.",Eprosartan,25,5-9/No data,98,4.4,,,,600 mg q24h ,Second Dose: 400-800 mg q24h,,600 mg q24h ,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [D]","CRRT: Dose for GFR 10-50,titrate, [D]","Kovacs SJ, Tenero DM, Martin DE, Ilson BE, Jorkasky DK. Pharmacokinetics and protein binding of eprosartan in hemodialysis-dependent patients with end-stage renal disease. Pharmacotherapy. 1999; 19: 612-9. [PMID: 10331824] / Martin DE, Chapelsky MC, Ilson B, Tenero D, Boike SC, Zariffa N, et al. Phar-macokinetics and protein binding of eprosartan in healthy volunteers and in patients with varying degrees of renal impairment. J Clin Pharmacol. 1998; 38: 129-37. [PMID: 9549643] / Tenero D, Martin D, Ilson B, Jushchyshyn J, Boike S, Lundberg D, et al. Phar-macokinetics of intravenously and orally administered eprosartan in healthy males: absolute bioavailability and effect of food. Biopharm Drug Dispos. 1998; 19: 351-6. [PMID: 9737815]",Eprosartan pharmacokinetics more variable in ESRD. Decreased protein binding in uremia.
